Sr. No.,Sector,Name Of Course,Online,Duration,Required Age,Minimum Education,Requisites,Language,Required Description,For Certification Advanced Module,Video Link To Embed,Project Under Hadp,Skill Training Course,Title Of Lectures,Link Kashmiri Video,Link Urdu Video,Link Dogri Video,Link Hindi Video,Course Language,Uploaded From,Uploaded Date
202,IT-ITeS,Monitor Performance of Web Apps,Free,00:36 hours,18+,"12th Pass, ITI, Diploma","developer,technology-manager,azure-monitor",English,Learn how to monitor your solution for performance and issues.,https://www.skillindiadigital.gov.in/courses/detail/85e029fd-ea37-4dc6-bc27-a8756426fc41,null,null,null,null,null,null,null,null,null,,null
203,IT-ITeS,Model data for Azure Cosmos DB for PostgreSQL,Free,00:49 hours,18+,"12th Pass, ITI, Diploma","developer,azure-cosmos-db",English,"In this module, you'll learn how to model, build, and alter a scalable, distributed, relational database in Azure Cosmos DB for PostgreSQL.",https://www.skillindiadigital.gov.in/courses/detail/8d4fd743-8c9f-43ac-8b6e-7649d416e2c2,null,null,null,null,null,null,null,null,null,,null
204,IT-ITeS,Migrating ASP.NET apps to Azure,Free,00:49 hours,18+,"12th Pass, ITI, Diploma",developer,English,"Migrating an ASP.NET application from on-premises to Azure, along with a supporting Azure SQL database, can provide many advantages, but also challenges. Learn how to evaluate the migration process to determine if it's right for your application.",https://www.skillindiadigital.gov.in/courses/detail/87a124b9-c0a2-484a-8617-8bc929d7a4a1,null,null,null,null,null,null,null,null,null,,null
205,IT-ITeS,Microsoft Azure Well-Architected Framework - Performance efficiency,Free,00:48 hours,18+,"12th Pass, ITI, Diploma","solution-architect,azure-cdn,azure-virtual-machines",English,"Learn how to adjust your capacity based on workload and how to optimize network performance, storage, and database performance.",https://www.skillindiadigital.gov.in/courses/detail/d2d06966-2a7d-4f70-929f-be8323876d64,null,null,null,null,null,null,null,null,null,,null
206,IT-ITeS,Manage Microsoft Entra Identity Protection,Free,00:50 hours,18+,"12th Pass, ITI, Diploma","administrator,identity-access-admin,security-engineer,entra,entra-id",English,"Implement and administer your access management using Microsoft Entra ID. Use MFA, Conditional Access, and identity protection to manager your identity solution. Aligned to SC-300 exam.",https://www.skillindiadigital.gov.in/courses/detail/a6e4718a-9082-4fde-be56-0c8d6cbae4b7,null,null,null,null,null,null,null,null,null,,null
207,IT-ITeS,Manage Microsoft Defender for Cloud,Free,02:23 hours,18+,"12th Pass, ITI, Diploma","administrator,security-engineer,defender-for-cloud",English,Use Microsoft Defender for Cloud to strengthen security posture and protect workloads against modern threats in Azure.,https://www.skillindiadigital.gov.in/courses/detail/f05fe5c2-092d-4bfe-a772-44b414f6ce22,null,null,null,null,null,null,null,null,null,,null
208,IT-ITeS,Manage Build Dependencies with Azure Artifacts,Free,00:55 hours,18+,"12th Pass, ITI, Diploma","devops-engineer,administrator,developer,azure-devops",English,"In this module, the Space Game web team guides you through creating a build pipeline that produces a package that can be used by multiple applications.",https://www.skillindiadigital.gov.in/courses/detail/c85f3b10-1c73-4491-8d7d-56c478435206,null,null,null,null,null,null,null,null,null,,null
209,IT-ITeS,Load balance the Web Service Traffic with Application Gateway,Free,01:32 hours,18+,"12th Pass, ITI, Diploma","solution-architect,administrator,azure-virtual-network,azure-application-gateway",English,Improve application resilience by distributing load across multiple servers and use path-based routing to direct web traffic.,https://www.skillindiadigital.gov.in/courses/detail/c0e256ba-56e0-4209-b88b-565908cbf21e,null,null,null,null,null,null,null,null,null,,null
210,IT-ITeS,Introduction to Object-Oriented Programming (OOPs) with Python,Free,00:46 hours,18+,"12th Pass, ITI, Diploma","developer,vs-code",English,This module will teach you how to model problems by using object-oriented programming (OOP) concepts.,https://www.skillindiadigital.gov.in/courses/detail/1031b915-de76-4324-bf78-c6adaf8115d7,null,null,null,null,null,null,null,null,null,,null
211,IT-ITeS,Introduction to Microsoft Intune,Free,00:23 hours,18+,"12th Pass, ITI, Diploma","administrator,mem,m365",English,"Microsoft Intune is your strategic infrastructure for managing and protecting your organization's devices, apps, and data. In addition, Microsoft Intune helps to ensure your end users have the best experience for productivity. This module helps explain endpoints that you need to protect, as well as the products and services that encompass Microsoft Intune.",https://www.skillindiadigital.gov.in/courses/detail/03e3d578-07f0-46c2-9cb4-8144ad056699,null,null,null,null,null,null,null,null,null,,null
212,IT-ITeS,Introduction to Azure SQL Edge,Free,00:34 hours,18+,"12th Pass, ITI, Diploma","administrator,database-administrator,technology-manager,azure-sql-edge",English,Describe how Azure SQL Edge enables developers to use the same Transact-SQL (T-SQL) API to develop apps for the edge. Evaluate whether Azure SQL Edge provides the same security and performance as Microsoft SQL Server.,https://www.skillindiadigital.gov.in/courses/detail/883196ff-0fd4-4cec-a293-42b414d12db1,null,null,null,null,null,null,null,null,null,,null
213,IT-ITeS,Introduction to Azure Private 5G Core,Free,00:44 hours,18+,"12th Pass, ITI, Diploma","service-adoption-specialist,solution-architect,technology-manager,azure",English,"Introduces Azure Private 5G Core, which provides 5G core network functions as part of an on-premises private mobile network for enterprises.",https://www.skillindiadigital.gov.in/courses/detail/498da49c-2b8f-4d78-bdc8-32d727607c11,null,null,null,null,null,null,null,null,null,,null
214,IT-ITeS,Introduction to Azure ExpressRoute,Free,00:18 hours,18+,"12th Pass, ITI, Diploma","administrator,solution-architect,azure-expressroute",English,"This module explains what Azure ExpressRoute does, how it works, and when you should choose to use Azure ExpressRoute as a solution.",https://www.skillindiadigital.gov.in/courses/detail/dd66f745-95b7-457f-ace8-24715177ff3c,null,null,null,null,null,null,null,null,null,,null
215,IT-ITeS,Introduction to Azure Advisor,Free,00:16 hours,18+,"12th Pass, ITI, Diploma","developer,administrator,solution-architect,azure-advisor",English,"This module introduces you to Azure Advisor and describes its characteristics, capabilities, and use cases.",https://www.skillindiadigital.gov.in/courses/detail/bcfa4f26-da83-4d3f-b4a1-506d49117fc2,null,null,null,null,null,null,null,null,null,,null
216,IT-ITeS,Interact with an ASP.NET Core minimal API,Free,00:37 hours,18+,"12th Pass, ITI, Diploma","developer,aspnet-core,dotnet,aspnet-web-api",English,"Learn how APIs are implemented in ASP.NET Core, and how to use API documentation to learn the APIs requirements.",https://www.skillindiadigital.gov.in/courses/detail/9a773dd3-307d-47c7-8155-c958d5b0d843,null,null,null,null,null,null,null,null,null,,null
217,IT-ITeS,Integration of Enterprise Apps for SSO,Free,00:48 hours,18+,"12th Pass, ITI, Diploma","administrator,security-engineer,entra,entra-workload-identities",English,"Enterprise app deployment enables control over which users can access the apps, easily log into apps with single-sign-on, and provide integrated usage reports.",https://www.skillindiadigital.gov.in/courses/detail/b25b8fab-b5c7-45e6-8bc0-6e92433ed8e1,null,null,null,null,null,null,null,null,null,,null
218,IT-ITeS,Integrate Adaptive Cards into Windows 10 Timeline,Free,00:45 hours,18+,"12th Pass, ITI, Diploma","developer,windows",English,Learn how to develop a simple adaptive card to enhance the appearance in Windows 10 Timeline of your Universal Windows Platform app.,https://www.skillindiadigital.gov.in/courses/detail/5285ddbb-45aa-4ed0-a82e-450e5bc56156,null,null,null,null,null,null,null,null,null,,null
219,IT-ITeS,Implement message-based communication workflows with Azure Service Bus,Free,00:54 hours,18+,"12th Pass, ITI, Diploma","developer,solution-architect,azure-service-bus",English,"Discover how to write code in .NET applications using Azure Service Bus for communications that can handle high demand, low bandwidth, and hardware failures.",https://www.skillindiadigital.gov.in/courses/detail/9605be74-1e57-4115-8821-f594ac4d1101,null,null,null,null,null,null,null,null,null,,null
220,IT-ITeS,Implement Windows Server File Server high availability,Free,00:45 hours,18+,"12th Pass, ITI, Diploma","administrator,security-engineer,solution-architect,windows-server",English,"Learn about the core functionality, benefits, use cases, and implementation of the highly available File Server role in Windows Server 2019.",https://www.skillindiadigital.gov.in/courses/detail/e2c39a32-9b92-46d9-ba85-1d2d2aee6e74,null,null,null,null,null,null,null,null,null,,null
221,IT-ITeS,Implement Error handling and logging in Go,Free,00:18 hours,18+,"12th Pass, ITI, Diploma",developer,English,Understand how to handle errors and log helpful information in your Go programs.,https://www.skillindiadigital.gov.in/courses/detail/e3f685e0-6756-4270-852b-fcfa5ddd3926,null,null,null,null,null,null,null,null,null,,null
222,IT-ITeS,Implement Disaster Recovery for Azure Arc-enabled SQL Managed Instance,Free,00:37 hours,18+,"12th Pass, ITI, Diploma","administrator,data-engineer,database-administrator,azure-arc,azure-sql-managed-instance",English,Learn how to manage availability and recover from disasters with Azure Arc-enabled SQL Managed Instance.,https://www.skillindiadigital.gov.in/courses/detail/177bb0fe-d183-4374-ae33-5ee9ec7bc0f1,null,null,null,null,null,null,null,null,null,,null
223,IT-ITeS,Implement Device Compliance,Free,00:28 hours,18+,"12th Pass, ITI, Diploma","administrator,windows,configuration-manager,intune",English,This module describes how to use compliance and conditional access policies to help protect access to organizational resources.,https://www.skillindiadigital.gov.in/courses/detail/49076a4c-fdb4-4dfd-8b6f-1a8f54dbbcf0,null,null,null,null,null,null,null,null,null,,null
224,IT-ITeS,Implement DNS for Windows Server IaaS VMs,Free,00:50 hours,18+,"12th Pass, ITI, Diploma","administrator,solution-architect,technology-manager,azure-cloud-shell,azure-portal",English,"In this learning path, you'll learn about Azure IaaS networking and identity. After completing the learning path, you'll be able to implement IP addressing, manage DNS, and deploy and manage domain controllers in Azure.",https://www.skillindiadigital.gov.in/courses/detail/b4f69503-ab5a-4120-9a3a-f151c46f16bb,null,null,null,null,null,null,null,null,null,,null
225,IT-ITeS,Implement Active Directory Certificate Services,Free,00:56 hours,18+,"12th Pass, ITI, Diploma","administrator,security-engineer,solution-architect,windows-server",English,"Learn about the Active Directory Certificate Services (AD CS) concepts and administration tasks, including types of certification authorities (CAs), the process of issuing and revoking certificates, and establishing certificate trusts.,",https://www.skillindiadigital.gov.in/courses/detail/911c4d46-3450-44d6-9ff4-9b3da6858524,null,null,null,null,null,null,null,null,null,,null
226,IT-ITeS,Image Classification using Azure Sphere,Free,01:08 hours,18+,"12th Pass, ITI, Diploma","ai-edge-engineer,azure-iot-edge",English,"Implement a neural network model for performing real-time image classification on a secured, internet-connected microcontroller-based device (Azure Sphere). Describe the components and steps for implementing a pre-trained image classification model on Azure Sphere.",https://www.skillindiadigital.gov.in/courses/detail/60ed684c-8632-423d-ae94-a6aeecc31c36,null,null,null,null,null,null,null,null,null,,null
227,IT-ITeS,Guided Project - Configure secure access to workloads with Azure virtual networking services,Free,01:39 hours,18+,"12th Pass, ITI, Diploma","administrator,network-engineer,azure-dns,azure-firewall,azure-virtual-network",English,Guided Project - Configure secure access to workloads with Azure virtual networking services,https://www.skillindiadigital.gov.in/courses/detail/90792bcd-4f8b-4e94-9524-ce560d58fcf9,null,null,null,null,null,null,null,null,null,,null
228,IT-ITeS,Govern data from Azure databases with Microsoft Purview,Free,00:13 hours,18+,"12th Pass, ITI, Diploma","administrator,data-engineer,solution-architect,sql-server,microsoft-purview",English,Microsoft Purview is a unified data governance service that helps you manage and govern your Azure SQL database data.,https://www.skillindiadigital.gov.in/courses/detail/d0d1f210-2fc7-40dc-8e96-8e64e7918e83,null,null,null,null,null,null,null,null,null,,null
229,IT-ITeS,Get Started with Azure Advisor,Free,00:37 hours,18+,"12th Pass, ITI, Diploma","administrator,business-owner,technology-manager,azure-advisor",English,"Learn how to use Azure Advisor to optimize your Azure usage, lower costs, and increase efficiency.",https://www.skillindiadigital.gov.in/courses/detail/c7b6f8f2-fa46-42a9-a94d-93ee29f56bf5,null,null,null,null,null,null,null,null,null,,null
230,IT-ITeS,Fundamentals of Relational Data Concepts,Free,00:37 hours,18+,"12th Pass, ITI, Diploma","data-analyst,data-engineer,database-administrator",English,Relational database systems are a common way to store and manage transactional and analytical data in organizations of any size around the world.,https://www.skillindiadigital.gov.in/courses/detail/3a392154-c51d-4c06-8725-ab7e3bd92be5,null,null,null,null,null,null,null,null,null,,null
231,IT-ITeS,Extract data with Azure Document Intelligence,Free,00:49 hours,18+,"12th Pass, ITI, Diploma","ai-engineer,data-scientist,developer,ai-services",English,"Azure Document Intelligence extracts data at scale to enable the submission of documents in real time, at scale, with accuracy. This module gives users the tools to use the Azure Document Intelligence vision API.",https://www.skillindiadigital.gov.in/courses/detail/b299192e-bee3-4fda-b00a-138f3f136be3,null,null,null,null,null,null,null,null,null,,null
232,IT-ITeS,Explore Data Roles and Services,Free,00:15 hours,18+,"12th Pass, ITI, Diploma","data-analyst,data-engineer,database-administrator",English,"Data professionals perform distinct roles in building and managing software solutions, and work with multiple technologies and services to do so.",https://www.skillindiadigital.gov.in/courses/detail/d40219ae-7aeb-4cdb-928f-ef00b2f099e5,null,null,null,null,null,null,null,null,null,,null
233,IT-ITeS,Examine Microsoft Defender for IoT Security Agents,Free,00:27 hours,18+,"12th Pass, ITI, Diploma","developer,azure-iot-edge,azure-iot-hub",English,This module introduces you to Microsoft Defender for IoT security agents and how security agents can be used to extend your security monitoring capabilities to the device-side of your IoT solution.,https://www.skillindiadigital.gov.in/courses/detail/e4830311-b971-49dc-8b4d-f2143345c6cd,null,null,null,null,null,null,null,null,null,,null
234,IT-ITeS,Embrace Responsible AI Principles and Practices,Free,00:48 hours,18+,"12th Pass, ITI, Diploma","business-owner,business-user,dynamics-365,m365",English,"This module is designed to help you adopt responsible AI practices. It offers an overview of the principles, governance system, and procedures followed at Microsoft, but we encourage you to develop your own AI strategy.",https://www.skillindiadigital.gov.in/courses/detail/e24d0221-9813-4540-969f-91bd509274fe,null,null,null,null,null,null,null,null,null,,null
235,IT-ITeS,Developer Tools for Workspace Interaction,Free,00:57 hours,18+,"12th Pass, ITI, Diploma","data-scientist,azure-machine-learning",English,"Learn how you can interact with the Azure Machine Learning workspace. You can use the Azure Machine Learning studio, the Python SDK (v2), or the Azure CLI (v2).",https://www.skillindiadigital.gov.in/courses/detail/18d32845-3806-4c8b-a94b-f74c8519ed09,null,null,null,null,null,null,null,null,null,,null
236,IT-ITeS,Design an Azure Cosmos DB for MongoDB,Free,00:50 hours,18+,"12th Pass, ITI, Diploma","developer,azure-cosmos-db",English,Design an Azure Cosmos DB for MongoDB database,https://www.skillindiadigital.gov.in/courses/detail/f1e646c4-d61a-41a2-9e4f-b090ca15a806,null,null,null,null,null,null,null,null,null,,null
237,IT-ITeS,Deploy a Containerized Application on Azure Kubernetes,Free,01:04 hours,18+,"12th Pass, ITI, Diploma","solution-architect,developer,devops-engineer,azure-kubernetes-service,azure-container-registry",English,Explore how to create and deploy a containerized application by using Azure Kubernetes Service declarative manifest files.,https://www.skillindiadigital.gov.in/courses/detail/552679c1-ce3d-466a-82c6-df7027824d7b,null,null,null,null,null,null,null,null,null,,null
238,IT-ITeS,Deploy SQL Server on Linux,Free,01:18 hours,18+,"12th Pass, ITI, Diploma","administrator,sql-server",English,"Learn about prerequisites to run SQL Server on Linux and the steps to install SQL Server on Linux. Also, learn about installing command-line tools.",https://www.skillindiadigital.gov.in/courses/detail/573720c3-15d0-4e4b-b2c4-9c59674c79a6,null,null,null,null,null,null,null,null,null,,null
239,IT-ITeS,Deploy Child and Extension Resources by using Bicep,Free,00:36 hours,18+,"12th Pass, ITI, Diploma","devops-engineer,developer,administrator,azure-resource-manager",English,"Learn how to deploy child and extension resources, and refer to existing resources, within your Bicep code.",https://www.skillindiadigital.gov.in/courses/detail/4be29bfa-e8a3-4e22-8660-303f8501e10e,null,null,null,null,null,null,null,null,null,,null
240,IT-ITeS,Deploy Azure Arc-enabled SQL Managed Instance,Free,01:09 hours,18+,"12th Pass, ITI, Diploma","data-engineer,solution-architect,azure-arc,azure-sql-managed-instance",English,Describe how to deploy and manage an Azure Arc-enabled SQL managed instance.,https://www.skillindiadigital.gov.in/courses/detail/2f123ae9-ec4f-4f60-bea5-f3ed9f496ec3,null,null,null,null,null,null,null,null,null,,null
241,IT-ITeS,Deploy Azure AI Services in Containers,Free,00:54 hours,18+,"12th Pass, ITI, Diploma","ai-engineer,developer,devops-engineer,ai-services,azure-container-instances",English,Learn about Container support in Azure AI services allowing the use of APIs available in Azure and enable flexibility in where to deploy and host the services with Docker containers.,https://www.skillindiadigital.gov.in/courses/detail/2cd17c1d-9457-40de-84e7-5f9f8e24369c,null,null,null,null,null,null,null,null,null,,null
242,IT-ITeS,Decompose a Monolithic Application into a Microservices Architecture,Free,00:52 hours,18+,"12th Pass, ITI, Diploma","solution-architect,azure-functions,azure-app-service",English,"Improve development agility, deployment, fault tolerance, and scalability by modernizing your application with a microservices architecture.",https://www.skillindiadigital.gov.in/courses/detail/72bd9022-77b9-416b-8bfd-ed3a02b6ce4e,null,null,null,null,null,null,null,null,null,,null
243,IT-ITeS,Data and Properties in React Components,Free,00:26 hours,18+,"12th Pass, ITI, Diploma","developer,static-web-apps",English,"The goal of React components is to create reusable blocks of code and UI. To support reusability, you can pass data into components through the use of properties. We will see how to add properties to a component, and work with complex data types such as arrays.",https://www.skillindiadigital.gov.in/courses/detail/1cb13ac3-e17e-4124-9213-0bed2852a73a,null,null,null,null,null,null,null,null,null,,null
244,IT-ITeS,Data Pipeline in Azure Synapse Analytics,Free,01:11 hours,18+,"12th Pass, ITI, Diploma","data-engineer,azure-data-factory,azure-synapse-analytics",English,"Pipelines are the lifeblood of a data analytics solution. Learn how to use Azure Synapse Analytics pipelines to build integrated data solutions that extract, transform, and load data across diverse systems.",https://www.skillindiadigital.gov.in/courses/detail/7baa8abb-7b30-44bf-a8a5-f7982fa2373f,null,null,null,null,null,null,null,null,null,,null
245,IT-ITeS,Custom Text Classification Solution,Free,00:58 hours,18+,"12th Pass, ITI, Diploma","ai-engineer,developer,ai-services",English,The Azure AI Language service enables processing of natural language to use in your own app. Learn how to build a custom text classification project.,https://www.skillindiadigital.gov.in/courses/detail/d5cc4515-5e4b-4882-adb9-99f3b31995fa,null,null,null,null,null,null,null,null,null,,null
246,IT-ITeS,Create and Customize Altair 8800 cloud services,Free,00:34 hours,18+,"12th Pass, ITI, Diploma","developer,azure-iot-central,azure-sphere",English,"Learn how to customize IoT Central, create an Altair web terminal, and run the Altair virtual disk server.",https://www.skillindiadigital.gov.in/courses/detail/db7cd580-f3f4-4e28-9a05-3c6bca952341,null,null,null,null,null,null,null,null,null,,null
247,IT-ITeS,Create a Web API with ASP.NET Core Controllers,Free,00:41 hours,18+,"12th Pass, ITI, Diploma","developer,dotnet,aspnet-core",English,"Create a RESTful service with ASP.NET Core controllers that supports create, read, update, delete (CRUD) operations.",https://www.skillindiadigital.gov.in/courses/detail/332d15b5-0775-48bc-9862-3e0d783d10ce,null,null,null,null,null,null,null,null,null,,null
248,IT-ITeS,Create Azure Database for MySQL Flexible Server,Free,00:48 hours,18+,"12th Pass, ITI, Diploma","data-engineer,database-administrator,developer,azure-database-mysql",English,"Microsoft Azure Database for MySQL is an Azure managed data service. It considerably simplifies database deployment, management, and maintenance, while providing compatibility with existing MySQL database workloads.",https://www.skillindiadigital.gov.in/courses/detail/2d973768-804d-4e4e-8a0b-3665f3cc67c7,null,null,null,null,null,null,null,null,null,,null
249,IT-ITeS,Continuous Integration with GitHub Actions,Free,01:10 hours,18+,"12th Pass, ITI, Diploma","administrator,developer,devops-engineer,azure-artifacts,azure-boards",English,"This module details continuous integration using GitHub Actions and describes environment variables, artifacts, best practices, and how to secure your pipeline using encrypted variables and secrets.",https://www.skillindiadigital.gov.in/courses/detail/66b032d7-a0d0-4919-9ccf-d7b8306a0fa2,null,null,null,null,null,null,null,null,null,,null
250,IT-ITeS,Connect Azure Assets to Microsoft Defender for Cloud,Free,00:35 hours,18+,"12th Pass, ITI, Diploma","security-operations-analyst,defender-for-cloud",English,Learn how to connect your various Azure assets to Microsoft Defender for Cloud to detect threats.,https://www.skillindiadigital.gov.in/courses/detail/049a0dbb-e5ba-4563-878d-0da1100ace9c,null,null,null,null,null,null,null,null,null,,null
251,IT-ITeS,Configure an NVIDIA DeepStream Development Environment,Free,01:00 hours,18+,"12th Pass, ITI, Diploma","ai-engineer,data-scientist",English,Learn how to set up and configure an x86-based Ubuntu 18.04 system to host an NVIDIA DeepStream development environment.,https://www.skillindiadigital.gov.in/courses/detail/488e196a-d6dc-4e3f-836f-26fb8f682880,null,null,null,null,null,null,null,null,null,,null
252,IT-ITeS,Configure User Experience Settings,Free,01:27 hours,18+,"12th Pass, ITI, Diploma","administrator,solution-architect,azure-virtual-desktop,azure-virtual-machines",English,"Persistent virtual desktops save the operating system state in between reboots. Virtual desktop provides users easy and seamless access to their assigned VMs, often with a single sign-on solution.",https://www.skillindiadigital.gov.in/courses/detail/01e3b0da-5b0b-4017-bf39-479737d415a6,null,null,null,null,null,null,null,null,null,,null
253,IT-ITeS,Configure SQL Server Resources for Optimal Performance,Free,00:35 hours,18+,"12th Pass, ITI, Diploma","data-analyst,data-engineer,database-administrator,azure-sql-database,sql-server",English,"Configure hardware and server resources for optimum performance after establishing a baseline. Identify sources of performance problems. Troubleshoot using Azure SQL Intelligent Insights.,",https://www.skillindiadigital.gov.in/courses/detail/94d94659-eab5-470c-b601-e07693bad61c,null,null,null,null,null,null,null,null,null,,null
254,IT-ITeS,Configure Replication and Manage Failovers in Azure Cosmos DB,Free,00:39 hours,18+,"12th Pass, ITI, Diploma","developer,azure-cosmos-db",English,Replicate data across the globe and manage automatic or manual failovers in Azure Cosmos DB.,https://www.skillindiadigital.gov.in/courses/detail/5075ed52-0196-4600-84fd-69e49ea55b58,null,null,null,null,null,null,null,null,null,,null
255,IT-ITeS,Configure Network Routing and Endpoints,Free,00:51 hours,18+,"12th Pass, ITI, Diploma","administrator,azure-virtual-network",English,"Learn how to configure network routes, including endpoints and private links.",https://www.skillindiadigital.gov.in/courses/detail/5a082de8-79b0-4581-9856-f4c40ed1d0ba,null,null,null,null,null,null,null,null,null,,null
256,IT-ITeS,Configure Hyper-V Virtual Machines,Free,00:45 hours,18+,"12th Pass, ITI, Diploma","administrator,solution-architect,windows-server",English,Learn about configuring and managing Hyper-V virtual machines in Windows Server 2019.,https://www.skillindiadigital.gov.in/courses/detail/373a6bff-dc8e-4cc0-8d43-79731c445b1f,null,null,null,null,null,null,null,null,null,,null
257,IT-ITeS,Configure Azure Storage with tools,Free,00:20 hours,18+,"12th Pass, ITI, Diploma","administrator,azure-storage",English,Learn how to configure Azure Storage with tools like Azure Storage Explorer and AZCopy.,https://www.skillindiadigital.gov.in/courses/detail/20aaee83-24ec-463d-9c69-06205e96f382,null,null,null,null,null,null,null,null,null,,null
258,IT-ITeS,Configure Azure Application Gateway,Free,00:19 hours,18+,"12th Pass, ITI, Diploma","administrator,azure-vpn-gateway",English,Learn how to configure Azure Application Gateway.,https://www.skillindiadigital.gov.in/courses/detail/954b2db2-5a9c-4c66-8d9e-c456ced7874d,null,null,null,null,null,null,null,null,null,,null
259,IT-ITeS,Characterize DevOps Continuous Collaboration and Continuous Improvement,Free,00:17 hours,18+,"12th Pass, ITI, Diploma","administrator,business-analyst,business-owner",English,"Explore two capabilities in the DevOps taxonomy, Continuous Collaboration and Continuous Improvement.",https://www.skillindiadigital.gov.in/courses/detail/88c8cbb1-741f-459c-91da-a7242bbc213e,null,null,null,null,null,null,null,null,null,,null
260,IT-ITeS,Catalog Data Artifacts by using Microsoft Purview,Free,00:28 hours,18+,"12th Pass, ITI, Diploma","data-analyst,data-engineer,microsoft-purview",English,"Register, scan, catalog, and view data assets and their relevant details in Microsoft Purview.",https://www.skillindiadigital.gov.in/courses/detail/f71076e1-1842-449e-a95e-f918bd8babf9,null,null,null,null,null,null,null,null,null,,null
261,IT-ITeS,Build a Real-time event-driven Java Solution in Azure,Free,00:33 hours,18+,"12th Pass, ITI, Diploma","developer,azure-functions,azure-event-hubs",English,"Start here and learn how you can build, migrate and scale Java applications on Azure using Azure services. Use tools and frameworks that you know and love '“ Spring, Tomcat, WildFly, JBoss, WebLogic, WebSphere, Maven, Gradle, IntelliJ, Eclipse, Jenkins, Terraform and more.",https://www.skillindiadigital.gov.in/courses/detail/2639abb1-8ab0-45e6-bd6f-89075b5c786d,null,null,null,null,null,null,null,null,null,,null
262,IT-ITeS,Build Reusable Bicep Templates by using Parameters,Free,00:39 hours,18+,"12th Pass, ITI, Diploma","devops-engineer,developer,administrator,azure-resource-manager",English,"Use Bicep parameters to provide information for your template during each deployment. Add decorators to make your parameters easy to understand and work with, and to protect secret data. Provide parameter values at the command line and by using parameter files.",https://www.skillindiadigital.gov.in/courses/detail/3ce543e1-01f0-4c9d-97e5-b902a76a7e93,null,null,null,null,null,null,null,null,null,,null
263,IT-ITeS,Build Real-time Chat APPusing Azure Web PubSub and Azure Static Web Apps,Free,00:35 hours,18+,"12th Pass, ITI, Diploma","developer,azure-web-pubsub",English,"Build a real-time, serverless chat app using Azure Web PubSub and Azure Static Web Apps, and implement continuous delivery from a GitHub repo.",https://www.skillindiadigital.gov.in/courses/detail/0b6d170b-018a-43e2-9966-eba42661c62a,null,null,null,null,null,null,null,null,null,,null
264,IT-ITeS,Build Classical Machine Learning Models with Supervised Learning,Free,00:52 hours,18+,"12th Pass, ITI, Diploma","ai-engineer,data-scientist,azure-machine-learning",English,"Supervised learning is a form of machine learning where an algorithm learns from examples of data. We progressively paint a picture of how supervised learning automatically generates a model that can make predictions about the real world. We also touch on how these models are tested, and difficulties that can arise in training them.",https://www.skillindiadigital.gov.in/courses/detail/f07b23d4-3ba6-4519-9e91-305dec6396bc,null,null,null,null,null,null,null,null,null,,null
265,IT-ITeS,Azure command-line Tools : Managing  Cloud Infrastructure,Free,00:28 hours,18+,"12th Pass, ITI, Diploma","administrator,developer,devops-engineer,azure-clis,azure-powershell",English,"Learn the basic concepts of infrastructure as code, explore the key differences between the Azure CLI, Azure PowerShell, Bicep, and Terraform, and decide which command-line tools best meet your organization's needs.",https://www.skillindiadigital.gov.in/courses/detail/3f5d34fa-7b5c-4cc8-ace8-bb7353bc9511,null,null,null,null,null,null,null,null,null,,null
266,IT-ITeS,Azure Resource Manager Templates,Free,00:41 hours,18+,"12th Pass, ITI, Diploma",administrator,English,This module explores Azure Resource Manager templates and their components and details dependencies and modularized templates with secrets.,https://www.skillindiadigital.gov.in/courses/detail/a73600cd-f592-436a-919b-8e375da8cbbe,null,null,null,null,null,null,null,null,null,,null
267,IT-ITeS,Azure RTOS ThreadX Memory Management,Free,00:23 hours,18+,"12th Pass, ITI, Diploma","developer,azure-iot,azure-rtos",English,Learn about the memory management options that are available in Azure RTOS ThreadX.,https://www.skillindiadigital.gov.in/courses/detail/942ea86f-530b-4ced-b372-b91dbe16f34b,null,null,null,null,null,null,null,null,null,,null
268,IT-ITeS,Azure Logic Apps Workflow using a Custom Connector : API Call,Free,00:40 hours,18+,"12th Pass, ITI, Diploma","developer,azure-logic-apps",English,"In this module, learn to create an Azure Logic Apps custom connector to call an API from an Azure Logic Apps workflow.",https://www.skillindiadigital.gov.in/courses/detail/16bacfe0-91b9-4bd6-8e05-d0d4e6a1d1d7,null,null,null,null,null,null,null,null,null,,null
269,IT-ITeS,Azure Function with Visual Studio : Develop and Deploy,Free,00:43 hours,18+,"12th Pass, ITI, Diploma","developer,vs-ide,azure-functions",English,"Use Visual Studio together with a test framework to create, deploy, and test an Azure Function.",https://www.skillindiadigital.gov.in/courses/detail/d4a6fd0a-e6c8-4717-9020-5c47ca40395f,null,null,null,null,null,null,null,null,null,,null
270,IT-ITeS,Authenticate your Azure Deployment Pipeline by using Service Principals,Free,00:34 hours,18+,"12th Pass, ITI, Diploma","developer,administrator,solution-architect,entra-id,azure-devops",English,"Learn how to create, manage, and grant permissions to service principals, which enable your deployment pipelines to securely authenticate to Azure.",https://www.skillindiadigital.gov.in/courses/detail/20dec2ea-dd4d-45be-9404-7370326339c4,null,null,null,null,null,null,null,null,null,,null
